"","country","le","hale","the","gdp","yld","the.gdp"
"108","SLE",48.933,40.943,84,889,7.99,9.45
"109","SLV",69.609,59.465,260,2929,10.14,8.88
"110","SUR",68.531,58.646,367,6841,9.89,5.36
"111","SWZ",62.323,53.021,203,4082,9.3,4.97
"112","SYC",66.721,58.315,550,9124,8.41,6.03
"113","TCD",52.45,43.913,44,718,8.54,6.13
"114","TGO",58.292,49.066,47,873,9.23,5.38
"115","THA",72.38,63.167,238,4299,9.21,5.54
"116","TJK",63.754,54.785,28,2350,8.97,1.19
"117","TKM",62.755,54.375,104,5399,8.38,1.93
"118","TON",70.029,60.075,129,2309,9.95,5.59
"119","TTO",69.124,59.493,481,7839,9.63,6.14
"120","TUN",72.031,62.223,282,3669,9.81,7.69
"121","TUR",67.1,57.563,174,4439,9.54,3.92
"122","TZA",56.648,47.798,25,952,8.85,2.63
"123","UGA",50.384,42.235,48,500,8.15,9.6
"124","UKR",69.988,60.891,289,6780,9.1,4.26
"125","URY",73.019,63.822,1283,6360,9.2,20.17
"126","USA",75.203,65.608,3810,23954,9.59,15.91
"127","UZB",67.302,57.828,112,1959,9.47,5.72
"128","VCT",68.718,58.501,197,3605,10.22,5.46
"129","VEN",72.572,62.848,476,9340,9.72,5.1
"130","VNM",68.927,59.484,73,970,9.44,7.53
"131","VUT",61.575,52.99,59,1648,8.59,3.58
"132","WSM",67.212,57.98,124,2358,9.23,5.26
"133","YEM",59.319,49.449,125,2192,9.87,5.7
"134","ZAF",64.634,55.483,478,6698,9.15,7.14
"135","ZMB",50.6,42.689,80,1498,7.91,5.34
