"","country","le","hale","the","gdp","yld","the.gdp"
"1","ALB",74.887,64.647,459,9304,10.24,4.93
"2","ARE",76.257,65.118,1910,56245,11.14,3.4
"3","ARM",73.863,63.68,291,6376,10.18,4.56
"4","ATG",76.488,63.3,1137,20151,13.19,5.64
"5","AUS",81.501,70.096,3761,39168,11.41,9.6
"6","AZE",72.536,62.49,831,15628,10.05,5.32
"7","BDI",53.965,46.042,63,693,7.92,9.09
"8","BEN",63.377,53.7,75,1724,9.68,4.35
"9","BFA",55.189,47.133,97,1394,8.06,6.96
"10","BGD",69.005,58.374,74,2402,10.63,3.08
"11","BHR",77.56,64.759,1447,39424,12.8,3.67
"12","BHS",75.967,63.226,1643,22431,12.74,7.32
"13","BLR",69.998,60.915,855,15385,9.08,5.56
"14","BLZ",71.234,59.352,474,7717,11.88,6.14
"15","BOL",70.711,60.778,283,5298,9.93,5.34
"16","BRA",74.078,63.826,1241,14115,10.25,8.79
"17","BRB",75.613,63.294,1482,15036,12.32,9.86
"18","BRN",77.182,67.267,1893,70486,9.92,2.69
"19","BTN",69.402,59.701,332,6354,9.7,5.23
"20","BWA",71.014,59.198,735,12854,11.82,5.72
"21","CAF",46.241,39.531,34,864,6.71,3.94
"22","CAN",80.634,69.598,4468,40085,11.04,11.15
"23","CHE",82.154,70.847,5319,51357,11.31,10.36
"24","CHL",78.544,68.598,1309,18250,9.95,7.17
"25","CHN",75.719,67.771,441,9239,7.95,4.77
"26","CIV",56.02,47.714,185,2671,8.31,6.93
"27","CMR",59.084,50.196,127,2523,8.89,5.03
"28","COD",55.192,46.362,28,584,8.83,4.79
"29","COG",58.835,49.896,124,5482,8.94,2.26
"30","COL",75.014,64.727,714,10680,10.29,6.69
"31","COM",62.76,53.994,80,1319,8.77,6.07
"32","CPV",75.069,63.719,285,5850,11.35,4.87
"33","CRI",79.436,68.878,1167,12403,10.56,9.41
"34","CUB",77.899,65.157,1823,18061,12.74,10.09
"35","DEU",80.232,69.019,4426,39639,11.21,11.17
"36","DJI",63.189,53.468,229,2645,9.72,8.66
"37","DMA",73.829,61.514,578,10016,12.31,5.77
"38","DOM",73.717,62.178,476,10981,11.54,4.33
"39","DZA",75.454,64.204,591,12650,11.25,4.67
"40","ECU",77.018,66.435,531,9163,10.58,5.8
"41","EGY",70.606,59.096,495,9898,11.51,5
"42","ETH",60.858,52.479,52,1054,8.38,4.93
"43","FJI",67.153,58.022,297,7631,9.13,3.89
"44","FSM",65.601,56.72,453,3270,8.88,13.85
"45","GAB",58.717,49.816,572,16004,8.9,3.57
"46","GEO",72.635,63.04,595,6599,9.6,9.02
"47","GHA",64.902,55.295,160,3021,9.61,5.3
"48","GIN",59.391,50.161,53,1147,9.23,4.62
"49","GMB",62.249,53.177,93,1621,9.07,5.74
"50","GNB",56.638,47.985,87,1301,8.65,6.69
"51","GNQ",57.714,48.553,1295,36403,9.16,3.56
"52","GRD",71.022,59.557,698,10952,11.47,6.37
"53","GTM",70.506,61.018,465,6533,9.49,7.12
"54","GUY",66.017,54.976,195,5666,11.04,3.44
"55","HND",71.839,61.599,354,4249,10.24,8.33
"56","IDN",69.723,60.882,230,8294,8.84,2.77
"57","IND",65.213,56.2,174,4363,9.01,3.99
"58","IRN",74.372,63.188,1122,17163,11.18,6.54
"59","IRQ",70.945,60.819,392,12418,10.13,3.16
"60","ISL",82.166,68.377,3415,38615,13.79,8.84
"61","ISR",81.116,69.656,2078,28901,11.46,7.19
"62","JAM",75.312,62.842,426,8196,12.47,5.2
"63","JOR",75.442,64.019,905,11028,11.42,8.21
"64","JPN",82.647,73.096,3237,33741,9.55,9.59
"65","KAZ",66.719,58.166,871,19205,8.55,4.54
"66","KEN",64.776,55.495,89,2487,9.28,3.58
"67","KGZ",66.862,57.591,186,2734,9.27,6.8
"68","KIR",61.038,51.824,179,1613,9.21,11.1
"69","KOR",79.714,70.301,2069,30465,9.41,6.79
"70","LAO",64.655,55.895,90,3904,8.76,2.31
"71","LBN",77.543,66.74,1134,15948,10.8,7.11
"72","LCA",73.719,61.571,777,10362,12.15,7.5
"73","LKA",75.457,65.27,254,8173,10.19,3.11
"74","LSO",47.39,40.197,238,2187,7.19,10.88
"75","MAR",72.653,61.094,282,6365,11.56,4.43
"76","MDA",70.001,61.025,448,3846,8.98,11.65
"77","MDG",63.59,53.83,68,1362,9.76,4.99
"78","MEX",75.466,66.907,1003,14586,8.56,6.88
"79","MHL",63.858,54.377,588,3437,9.48,17.11
"80","MKD",75.002,64.812,778,11678,10.19,6.66
"81","MLI",57.273,48.553,112,1503,8.72,7.45
"82","MNG",64.558,56.454,398,7553,8.1,5.27
"83","MOZ",52.501,44.538,52,895,7.96,5.81
"84","MRT",64.47,54.261,105,3249,10.21,3.23
"85","MUS",73.207,63.92,813,15283,9.29,5.32
"86","MWI",52.884,44.996,68,734,7.89,9.26
"87","MYS",73.749,64.407,798,20675,9.34,3.86
"88","NAM",61.554,52.499,655,8212,9.05,7.98
"89","NER",57.702,48.892,55,804,8.81,6.84
"90","NGA",59.57,50.39,174.83284,5019,9.18,3.48
"91","NIC",74.405,64.044,286,3943,10.36,7.25
"92","NOR",80.837,67.994,5475,58813,12.84,9.31
"93","NPL",69.204,58.761,115,1956,10.44,5.88
"94","NZL",80.695,69.246,3034,30993,11.45,9.79
