"","country","le","hale","the","gdp","yld","the.gdp"
"95","OMN",75.884,64.778,601,45885,11.11,1.31
"96","PAK",65.729,56.504,125,4210,9.23,2.97
"97","PAN",76.706,66.49,1178,14852,10.22,7.93
"98","PER",76.416,65.706,484,9678,10.71,5
"99","PHL",70.102,60.259,233,5524,9.84,4.22
"100","PNG",58.674,50.429,73,2123,8.24,3.44
"101","PRY",73.205,62.774,605,7142,10.43,8.47
"102","RUS",68.857,59.915,1410,20498,8.94,6.88
"103","RWA",64.552,54.756,139,1302,9.8,10.68
"104","SAU",77.129,65.07,1566,43352,12.06,3.61
"105","SDN",68.767,57.028,272,3175,11.74,8.57
"106","SEN",65.318,55.636,99,2143,9.68,4.62
"107","SGP",81.014,71.087,2773,70598,9.93,3.93
"108","SLB",62.022,54.02,128,1752,8,7.31
"109","SLE",58.645,49.106,139,1318,9.54,10.55
"110","SLV",74.234,63.91,491,7302,10.32,6.72
"111","SUR",72.622,60.686,899,14217,11.94,6.32
"112","SWZ",49.388,41.842,508,7488,7.55,6.78
"113","SYC",66.083,58.071,719,19952,8.01,3.6
"114","TCD",55.48,46.798,64,1885,8.68,3.4
"115","TGO",60.188,50.97,97,1205,9.22,8.05
"116","THA",74.133,65.251,479,13309,8.88,3.6
"117","TJK",68.317,58.697,125,2080,9.62,6.01
"118","TKM",69.317,59.969,196,9829,9.35,1.99
"119","TON",70.44,60.985,222,4852,9.45,4.58
"120","TTO",70.65,59.4,1494,29308,11.25,5.1
"121","TUN",76.416,65.996,677,10330,10.42,6.55
"122","TUR",74.361,63.851,904,16166,10.51,5.59
"123","TZA",61.719,52.202,106,2068,9.52,5.13
"124","UGA",60.346,51.456,167,1522,8.89,10.97
"125","UKR",69.717,60.775,599,7686,8.94,7.79
"126","URY",76.537,67.031,1423,16737,9.51,8.5
"127","USA",78.236,67.928,8299,48374,10.31,17.16
"128","UZB",68.84,59.3,226,4100,9.54,5.51
"129","VCT",72.043,60.232,458,9715,11.81,4.71
"130","VEN",74.535,64.912,795,16228,9.62,4.9
"131","VNM",75.618,65.836,273,4396,9.78,6.21
"132","VUT",64.326,55.67,134,2888,8.66,4.64
"133","WSM",70.762,61.466,302,5295,9.3,5.7
"134","YEM",65.825,55.24,136,4286,10.59,3.17
"135","ZAF",59.899,50.982,979,11842,8.92,8.27
"136","ZMB",55.811,47.777,140,3211,8.03,4.36
